Raw_Type,pslist_nproc,pslist_nppid,pslist_avg_threads,pslist_nprocs64bit,pslist_avg_handlers,dlllist_ndlls,dlllist_avg_dlls_per_proc,handles_nhandles,handles_avg_handles_per_proc,handles_nport,handles_nfile,handles_nevent,handles_ndesktop,handles_nkey,handles_nthread,handles_ndirectory,handles_nsemaphore,handles_ntimer,handles_nsection,handles_nmutant,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_not_in_load_avg,ldrmodules_not_in_init_avg,ldrmodules_not_in_mem_avg,malfind_ninjections,malfind_commitCharge,malfind_protection,malfind_uniqueInjections,psxview_not_in_pslist,psxview_not_in_eprocess_pool,psxview_not_in_ethread_pool,psxview_not_in_pspcid_list,psxview_not_in_csrss_handles,psxview_not_in_session,psxview_not_in_deskthrd,psxview_not_in_pslist_false_avg,psxview_not_in_eprocess_pool_false_avg,psxview_not_in_ethread_pool_false_avg,psxview_not_in_pspcid_list_false_avg,psxview_not_in_csrss_handles_false_avg,psxview_not_in_session_false_avg,psxview_not_in_deskthrd_false_avg,callbacks_ncallbacks,callbacks_nanonymous,callbacks_ngeneric,modules_nmodules,svcscan_nservices,svcscan_kernel_drivers,svcscan_fs_drivers,svcscan_process_services,svcscan_shared_process_services,svcscan_interactive_process_services,svcscan_nactive,Label,SubType
F:\Run_1\2c1487a61bbcd807564589279cd4314b866c6444198affa0a3d5432b88dcceb8_trojan/raw/raw_2.bin,153,17,9.366013071895424,153,0.0,7581,53.38732394366197,52007,358.66896551724136,0,2042,11382,151,4149,1709,339,2814,361,1116,813,582,720,582,0.0724060711619806,0.0895745210251306,0.0724060711619806,20,813,20,6,9,3,6,161,24,0,161,0.0559006211180124,0.0186335403726708,0.0372670807453416,1.0,0.1490683229813664,0.0,1.0,268,223,25,175,1451,735,85,155,2,2,392,Malware,Trojan
F:\Run_1\2dc55319850ccba833517729306bbf99d6313f5deef29c39eff9a6e8925a2dd9_trojan/raw/raw_0.bin,125,16,12.688,124,0.0,5886,49.05,41486,342.8595041322314,0,1725,9678,124,3038,1841,284,1806,322,888,725,357,479,357,0.0573678290213723,0.0769725212919813,0.0573678290213723,22,1347,22,6,4,1,4,129,11,0,129,0.0310077519379844,0.0077519379844961,0.0310077519379844,1.0,0.0852713178294573,0.0,1.0,257,217,17,175,1442,730,88,146,2,2,370,Malware,Trojan
F:\Run_1\2dc55319850ccba833517729306bbf99d6313f5deef29c39eff9a6e8925a2dd9_trojan/raw/raw_1.bin,131,16,10.045801526717558,130,0.0,6302,49.62204724409449,43269,338.0390625,0,1794,9822,129,3252,1578,293,1952,348,944,787,395,525,395,0.0590698369971586,0.0785105428443248,0.0590698369971586,22,1347,22,6,3,0,4,134,10,0,134,0.0223880597014925,0.0,0.0298507462686567,1.0,0.0746268656716417,0.0,1.0,257,217,25,175,1454,738,87,154,2,2,385,Malware,Trojan
F:\Run_1\2dc55319850ccba833517729306bbf99d6313f5deef29c39eff9a6e8925a2dd9_trojan/raw/raw_2.bin,142,18,9.288732394366198,139,0.0,6521,49.77862595419848,44617,328.06617647058823,0,1843,9963,135,3311,1493,312,2066,332,968,704,551,684,551,0.0781006378454996,0.0969525159461374,0.0781006378454996,22,1347,22,6,11,1,7,152,18,0,152,0.0723684210526315,0.006578947368421,0.0460526315789473,1.0,0.1184210526315789,0.0,1.0,263,223,25,175,1437,727,89,154,2,2,384,Malware,Trojan
F:\Run_1\2e7c584b53d31556f9f68c8786d54983a0eb649780084a5d1587188c348ee607_trojan/raw/raw_0.bin,142,20,1858.8028169014085,142,0.0,6724,50.556390977443606,48699,360.73333333333335,0,2299,11415,142,3579,2219,323,2548,318,910,820,512,653,512,0.0717388258371864,0.0914950259212554,0.0717388258371864,9,22,9,5,9,0,6,149,16,0,149,0.0604026845637583,0.0,0.0402684563758389,1.0,0.1073825503355704,0.0,1.0,257,217,25,175,1408,710,84,147,2,2,384,Malware,Trojan
F:\Run_1\2e7c584b53d31556f9f68c8786d54983a0eb649780084a5d1587188c348ee607_trojan/raw/raw_1.bin,144,17,10.02777777777778,144,0.0,6715,50.48872180451128,47958,347.5217391304348,0,2154,10812,142,3573,1743,325,2458,343,959,721,674,808,674,0.0921646383153288,0.1104881717489402,0.0921646383153288,19,810,19,6,9,0,8,153,20,0,153,0.0588235294117647,0.0,0.0522875816993464,1.0,0.130718954248366,0.0,1.0,257,217,25,175,1436,728,85,153,2,2,392,Malware,Trojan
F:\Run_1\2e7c584b53d31556f9f68c8786d54983a0eb649780084a5d1587188c348ee607_trojan/raw/raw_2.bin,152,20,9.848684210526317,151,0.0,7410,52.92857142857143,52089,364.2587412587413,0,2102,12337,148,3934,1832,336,2685,347,1025,856,656,803,656,0.0820307615355758,0.1004126547455295,0.0820307615355758,20,813,20,6,6,2,9,158,17,0,158,0.0379746835443038,0.0126582278481012,0.0569620253164556,1.0,0.1075949367088607,0.0,1.0,263,223,25,175,1431,727,84,151,2,2,483,Malware,Trojan
F:\Run_1\3c37debc9a1802eacd6d1d1c67e96c7919766348958b20b0b804ecc028bfef15_trojan/raw/raw_0.bin,146,20,12.904109589041097,146,0.0,7226,51.985611510791365,50073,360.23741007194246,0,2425,11418,146,3749,2257,329,2696,339,963,881,422,561,422,0.0557242836392446,0.0740789647431665,0.0557242836392446,22,1350,22,6,13,0,14,159,25,0,159,0.0817610062893081,0.0,0.0880503144654088,1.0,0.1572327044025157,0.0,1.0,258,217,17,176,1403,709,84,146,2,2,386,Malware,Trojan
F:\Run_1\3c37debc9a1802eacd6d1d1c67e96c7919766348958b20b0b804ecc028bfef15_trojan/raw/raw_1.bin,144,17,9.78472222222222,144,0.0,7279,52.7463768115942,48744,355.7956204379562,0,2041,10972,145,3756,1725,322,2576,324,981,764,410,550,410,0.0535108326807622,0.0717828243278517,0.0535108326807622,22,1351,22,6,17,0,16,161,26,0,161,0.1055900621118012,0.0,0.0993788819875776,1.0,0.1614906832298136,0.0,1.0,258,217,25,176,1414,714,85,152,2,2,396,Malware,Trojan
F:\Run_1\3c37debc9a1802eacd6d1d1c67e96c7919766348958b20b0b804ecc028bfef15_trojan/raw/raw_2.bin,157,19,23799549.21019108,156,0.0,7699,54.21830985915493,51594,355.82068965517243,0,2040,11278,154,4077,1742,346,2771,349,1055,846,512,674,512,0.0634920634920634,0.0835813492063492,0.0634920634920634,22,1351,22,6,14,1,16,170,27,0,170,0.0823529411764705,0.0058823529411764,0.0941176470588235,1.0,0.1588235294117647,0.0,1.0,264,223,25,176,0,0,0,0,0,0,0,Malware,Trojan
