hash,filename,yara,vmray_classification,Risk
"E:\Run_1\benign\5b3bb26ce3cc45e3f9317075e2018d429ca2d0203bd6c41eda16da34bc0b8ccd_benign.zip",ezchsp.exe,false,-,Clean
"E:\Run_1\benign\5b231372f1e52b49526215deebcfc997b9dd74d77cc35d9cf78590480e51b1a0_benign.zip",rjsvjln.exe,false,-,Clean
"E:\Run_1\benign\5c1af46c7300e87a73dacf6cf41ce397e3f05df6bd9c7e227b4ac59f85769160_benign.zip",yjg.exe,false,-,Clean
"E:\Run_1\benign\5d62d79f6555d7a7edaf3b175312b326df779f9ae8c893e2182e4159f44c9d34_benign.zip",ezyvh.exe,false,-,Clean
"E:\Run_1\benign\5e815f1124d3279bf4d593ecdf73f4d8e7cabc26e7dbf1148a5f3ed529531827_benign.zip",xuwnhwzjl.exe,false,-,Clean
"E:\Run_1\benign\5e405415dc1a7d3c56e7e8d8b9b744ac3c2a275ee5f4b09bc09d63d6f7546e28_benign.zip",exyrtlf.exe,false,-,Clean
"E:\Run_1\benign\5f435219d06e44d63e9d5b7a234afe3ef384c94fc997b9cbd2f051742d69c790_benign.zip",jckmjwlsli.exe,false,-,Clean
"E:\Run_1\benign\5fd41a27b02e9e2c90fd4d98aeae32d41cd24d5efe80ec918c7ad7cc2514386f_benign.zip",bgtej.exe,false,-,Clean
"E:\Run_1\benign\5fea3241e2e2c3232f3dafa3bf72c9ba0e88df2781f2a742d4369813f99ce952_benign.zip",pswquckdj.exe,false,-,Clean
"E:\Run_1\benign\6b8d1a1f785c103e2d75702c22491d1b3942878bcba7965c9f6b2ec46440726d_benign.zip",sukpvsdxmx.exe,false,-,Clean
"E:\Run_1\benign\6c29fa22f01232ee015ac027338ce7b69745844fae51d7cde0916acd371f3bfc_benign.zip",upuvoqizav.exe,false,-,Clean
"E:\Run_1\benign\6df774a7ed523b867cb9bcc2f56d95db134f8f668c5c7dfc6843665ce2e966b9_benign.zip",gwuceho.exe,false,-,Clean
"E:\Run_1\benign\6e4849e0d92ae82380bf4bb6773a1ff27863038838a021ccade723e2adab5d73_benign.zip",wmgfwjcg.exe,false,-,Clean
"E:\Run_1\benign\6ee4dca852ae3b8f2fa3dba67bf58ea089d1ad5af0946dad3350339877cb7f29_benign.zip",ypxm.exe,false,-,Clean
"E:\Run_1\benign\7a8cc5e06b39affec26b3f1bcaae3fae4a3c35aac0d2b5d0ae0509e9d1f06090_benign.zip",fftxrqma.exe,false,-,Clean
