Raw_Type,malfind_ninjections,malfind_commitCharge,malfind_protection,malfind_uniqueInjections,pstree_nTree,pstree_nHandles,pstree_nPID,pstree_nPPID,pstree_AvgThreads,pstree_nWow64,pstree_AvgChildren,pslist_nproc,pslist_nppid,pslist_avg_threads,pslist_nprocs64bit,pslist_avg_handlers,nConn,nDistinctForeignAdd,nDistinctForeignPort,nDistinctLocalAddr,nDistinctLocalPort,nOwners,nDistinctProc,nListening,Proto_TCPv4,Proto_TCPv6,Proto_UDPv4,Proto_UDPv6,file_total_changes,file_added_files,file_modified_files,file_deleted_files,registry_total_changes,registry_added_files,registry_modified_files,registry_deleted_files,Label,SubType
3bab265b48e6bb91db54d1eb457851df217e3ecc2c7c913c29d560db2b491c72_spyware,22,1347,22,6,127,0,127,17,44.8503937007874,2,0.937007874015748,135,17,42.95555555555556,133,0.0,59,4,2,6,28,8,20,24,13,12,18,16,0,0,0,0,10,3,4,3,Malware,Spyware
3e8a0aea0ec65bb5188b7d252db6f7a76d9afc0831b5a21ec5c5e024a712f828_spyware,23,1615,23,6,132,0,132,17,13.181818181818182,1,0.9393939393939394,153,17,12.875816993464053,152,0.0,132,22,6,7,78,13,33,24,54,14,35,29,0,0,0,0,10,3,4,3,Malware,Spyware
3f04fed95bbe65e4245c640f73c72e9a6f3abd0bebb6873e25b1680ecb6e46ca_spyware,23,1619,23,6,149,0,149,23,13.12751677852349,0,0.9194630872483222,161,24,12.937888198757763,160,0.0,167,41,4,6,130,16,35,24,114,12,22,19,0,0,0,0,10,3,4,3,Malware,Spyware
3f11f61a14aef14bc2321d0c221ae26a227de29a69bd338cb40df0d0b7701ef3_spyware,33,2142,33,6,144,0,144,20,12.604166666666666,0,0.9513888888888888,163,22,12.196319018404909,162,0.0,181,43,6,6,138,16,32,24,133,11,21,16,0,0,0,0,10,3,4,3,Malware,Spyware
3f312823fe7f6de875d8fbaaa292b51772b40208aeba8ee6f650ad7bac2c0cf1_spyware,33,2142,33,6,140,0,140,20,12.764285714285714,0,0.9642857142857144,151,20,12.675496688741722,151,0.0,169,43,7,6,129,18,37,24,117,11,23,18,0,0,0,0,10,3,4,3,Malware,Spyware
3f6f34341a9d76d8677f9f6b5f33bb46f09cf5560fb541661d58de69cfeb0309_spyware,23,1619,23,6,156,0,156,20,13.006410256410255,0,0.967948717948718,167,21,12.70059880239521,167,0.0,168,35,3,7,123,13,32,24,118,11,22,17,0,0,0,0,4,1,2,1,Malware,Spyware
4d0a30b447973e886de783914b49159be16c8db75aae30dbe6492a4195f1289f_spyware,22,1346,22,6,15,0,15,8,23.933333333333334,0,0.5333333333333333,166,20,13.240963855421686,164,0.0,196,39,3,8,154,16,33,24,143,11,23,19,0,0,0,0,10,3,4,3,Malware,Spyware
4d22dd3efcdc412df99ade8b2a1a72244f519894504c9abb454530a0e6fa6677_spyware,22,1347,22,6,127,0,127,16,12.708661417322835,1,0.937007874015748,137,16,12.583941605839415,136,0.0,48,3,1,6,26,6,16,22,12,10,14,12,0,0,0,0,10,3,4,3,Malware,Spyware
5a04f84e395920346f3e0cc67de9bf00c465e2167da353f10cd371bb85f0568f_spyware,33,2142,33,6,143,0,143,20,13.153846153846152,0,0.944055944055944,163,21,7187347.466257669,163,0.0,172,43,5,6,128,14,32,24,120,13,22,17,0,0,0,0,4,1,2,1,Malware,Spyware
5a58c8d4b69818e29e9f57eebb98a71ab77004c0a40455091c84d8c7fe3e7da3_spyware,34,2410,34,6,148,0,148,26,12.722972972972974,1,0.9256756756756755,167,28,12.437125748502996,165,0.0,182,53,4,6,132,14,32,24,126,11,25,20,0,0,0,0,10,3,4,3,Malware,Spyware
04ffb8d60a17d6405a9408e73e9cabcdaf5e396f7c4784874dc49c353e97315b_benign,22,1346,22,6,146,0,146,17,13.623287671232877,0,0.9452054794520548,156,18,13.173076923076923,156,0.0,176,39,3,7,131,15,33,24,127,11,21,17,0,0,0,0,4,1,2,1,Benign,Benign
05c73c13c3635fab5c7daa5bcae4ea3a21ec0bd620291762cd13c03cd786b438_benign,22,1347,22,6,142,0,142,23,12.485915492957746,3,0.9295774647887324,158,23,12.069620253164556,154,0.0,143,33,6,8,100,16,37,24,72,13,32,26,0,0,0,0,4,1,2,1,Benign,Benign
0be00b72a65e558aa92a4f197663f3496b2a3ceaa5f77bafe309727141ad77af_benign,22,1347,22,6,126,0,126,16,12.595238095238097,1,0.9365079365079364,136,16,12.566176470588236,135,0.0,53,3,1,6,27,7,18,22,12,10,17,14,0,0,0,0,4,1,2,1,Benign,Benign
0bf9cfc88d56b52982655b56d577f69d2ee4b136908684015001c52c64f0a84b_benign,34,2412,34,6,147,0,147,21,12.54421768707483,2,0.9251700680272108,165,23,12.309090909090909,162,0.0,173,43,5,6,129,15,31,24,120,12,23,18,0,0,0,0,4,1,2,1,Benign,Benign
0c1134c20c7f2a20eeda30f998c5e70336e56fa1fde05434028d97f3eeb31c33_benign,22,1347,22,6,116,0,116,16,13.301724137931034,1,0.9310344827586208,148,18,12.513513513513514,147,0.0,120,21,5,7,77,12,31,24,60,13,26,21,0,0,0,0,10,3,4,3,Benign,Benign
0d8d47b0b0bf9291e01f426782ba721d5be30ea9b2547f315c7ca48c367b2aa9_benign,22,1347,22,6,151,0,151,18,13.80132450331126,1,0.9536423841059604,160,19,13.78125,159,0.0,159,35,4,7,108,15,35,24,102,12,25,20,0,0,0,0,10,3,4,3,Benign,Benign
0e69c9e8e2447ea2c355e3daa30c1697427fe40748a0daabf2d996ab254e89cf_benign,38,3486,38,6,108,0,108,21,2440.1481481481483,1,0.8796296296296297,162,24,1629.9814814814815,160,0.0,171,46,5,6,130,18,34,24,121,11,22,17,0,0,0,0,10,3,4,3,Benign,Benign
0e73886d15f788471581cbf3864703206fd96eb79e4683ffa332463507fdcda4_benign,22,1347,22,6,132,0,132,18,12.666666666666666,1,0.946969696969697,150,21,12.273333333333332,147,0.0,94,9,7,7,49,9,24,25,21,12,34,27,0,0,0,0,4,1,2,1,Benign,Benign
0fbcedf08d9e262137afba702687b2de15822149e4a282b9249907134e5ef151_benign,32,1873,32,6,138,0,138,20,13.028985507246375,0,0.9420289855072465,152,22,12.68421052631579,152,0.0,168,44,5,7,127,14,30,24,120,11,21,16,0,0,0,0,4,1,2,1,Benign,Benign
0fe87602f6f2a6dd5acf209eea81ec0555fe1e02d6f781299724238b4cb2e2c1_benign,22,1346,22,6,125,0,125,16,12.768,1,0.936,136,17,12.639705882352942,135,0.0,56,3,1,6,26,8,20,24,13,11,18,14,0,0,0,0,4,1,2,1,Benign,Benign
0ff0a7429ebd5f19eac9fef4504d12c2b2b66a2b060de1c25d6e8fd08262f6d9_benign,22,1347,22,6,135,0,135,19,43.422222222222224,2,0.925925925925926,151,19,40.28476821192053,149,0.0,127,8,5,6,66,11,27,24,24,14,49,40,0,0,0,0,4,1,2,1,Benign,Benign
1b399f61e57266427a5fceb4f3df6a337304832e24579c43385b59cfd660e068_benign,22,1346,22,6,135,0,135,18,12.985185185185186,1,0.9333333333333332,143,19,12.727272727272728,142,0.0,111,12,7,6,59,9,27,24,29,14,36,32,0,0,0,0,4,1,2,1,Benign,Benign
1b67441f080adf23da22736c557813d3bb459c915a1b84d8253b8e9599df2708_benign,34,2412,34,6,149,0,149,26,12.697986577181208,1,0.953020134228188,170,28,12.370588235294118,168,0.0,169,45,5,7,129,16,33,24,119,11,22,17,0,0,0,0,4,1,2,1,Benign,Benign
